municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,longitud_bancos,latitud_bancos,avg_income,population_density,avg_rent_price,normalized_bank_count,perc_over_65,perc_under_35,economic_score,social_score,total_score_alpha_0,total_score_alpha_25,total_score_alpha_50,total_score_alpha_75,total_score_alpha_100,PC1_economic,PC2_social,economic_score_normalized,social_score_normalized,total_score_alpha_50_normalized,economic_category,social_category
A Baña,3389.0,1597.0,1792.0,34.55052733604496,98.08822791727448,760.0,2180.0,1325.0,23.194,0.0,0.0,0.0,0.0,0.0,23.194,34.55052733604496,2.637703983157895,0.0,0.003909707878430215,0.0022425494246090293,1.2104243409605575,0.0876771315316306,0.0876771315316306,0.36836393388886235,0.6490507362460941,0.9297375386033259,1.2104243409605575,0.0007223640965658,-0.4278706997198244,4.441467383043406,85.26072290546809,4.481935585343039,Very Low,Very High
A Bola,1075.0,508.0,567.0,30.7990266898203,34.903700393730595,208.0,663.0,536.0,19.074,0.0,0.0,1.0,-7.9120198,42.1564424,19.074,30.7990266898203,2.637703983157895,0.0125,0.004986046511627907,0.0019348837209302318,0.903996337173994,0.0952682747431043,0.0952682747431043,0.2974502903508267,0.4996323059585491,0.7018143215662715,0.903996337173994,0.0488105079869156,-0.7626759912638548,3.266718516849798,92.642651882646,3.3362460946331685,Very Low,Very High
A Cañiza,5115.0,2512.0,2603.0,48.69775115325253,105.0356511105209,1441.0,3612.0,1561.0,20.975,0.742729832,0.710382514,1.0,-8.276041,42.2127485,20.975,48.69775115325253,0.726556173,0.0125,0.0030518084066471158,0.002817204301075269,4.686684666892585,0.0849009817214812,0.0849009817214812,1.2353469030142572,2.385792824307033,3.5362387455998094,4.686684666892585,-0.0164290772950387,-0.5850245704668102,17.768359266354818,82.5610846352331,17.798680745466662,Very Low,Very High
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,37.0,-8.145621,42.93471958918919,26.737,21.52306152337824,2.637703983157895,0.4625,0.00323671497584541,0.002383252818035426,0.5580325061173523,0.0414622667195656,0.0414622667195656,0.17060482656901227,0.299747386418459,0.42888994626790566,0.5580325061173523,0.2300927801912411,-0.6205320801908442,1.9404016879190091,40.319553936754446,1.8035968007825798,Very Low,Medium
A Coruña,245468.0,113806.0,131662.0,6364.888022278336,38.56595734925966,74464.0,185187.0,59663.0,33.057,6.341972839193549,0.2457914104838709,2.0,-8.51054015,43.192682700000006,33.057,6364.888022278336,3.2938821248387096,0.025,0.0024305815829354527,0.00303355223491453,26.136441498538602,0.0718896378822954,0.0718896378822954,6.588027603046372,13.10416556821045,19.620303533374525,26.136441498538602,-0.2165780318138268,4.994495151536905,100.0,69.90833742143568,99.98350216655524,Very High,High
A Estrada,20261.0,9736.0,10525.0,72.17121514546173,280.7351928211791,6024.0,14932.0,5729.0,23.865,1.186745952105263,0.1540588210526315,40.0,-7.897881334999999,42.816472235,23.865,72.17121514546173,0.6704023865789472,0.5,0.0028275998223187397,0.002973199743349292,4.982703261824216,0.0420350953300629,0.0420350953300629,1.2772021369536013,2.51236917857714,3.747536220200678,4.982703261824216,0.2406921267242357,-0.7057635897136776,18.90320172354217,40.87659521512148,18.769224998813154,Very Low,Medium
A Fonsagrada,3328.0,1751.0,1577.0,7.590808397144948,438.42497740447857,671.0,2143.0,1446.0,19.939,0.9785345733333334,0.7555106566666666,1.0,-7.0676605,43.1248311,19.939,7.590808397144948,0.867022615,0.0125,0.004344951923076923,0.002016225961538461,0.7183026058793993,0.0865089980808235,0.0865089980808235,0.24445740003046745,0.4024058019801114,0.5603542039297553,0.7183026058793993,0.0236828409891147,-0.6934433798816564,2.5548269873486977,84.12478357070619,2.5907464691037556,Very Low,Very High
A Guarda,9991.0,4896.0,5095.0,477.9872766412933,20.90223001374526,3223.0,7805.0,2208.0,24.585,3.16657707375,0.0,1.0,-8.8742166,41.9012451,24.585,477.9872766412933,1.583288536875,0.0125,0.002209988990091081,0.0032259033129816827,13.858454193224418,0.0704009566972801,0.0704009566972801,3.5174142658290646,6.964427574960849,10.411440884092633,13.858454193224418,-0.0548028898854908,-0.0825421255493303,52.930047228634514,68.46068474629789,52.90608821540277,Medium,High
A Gudiña,1232.0,625.0,607.0,7.193416628233302,171.26771097402408,301.0,862.0,446.0,20.73,0.0,3.14926661,1.0,-7.1403516,42.0605483,20.73,7.193416628233302,1.574633305,0.0125,0.00362012987012987,0.002443181818181818,0.3962487365842673,0.0873407753468122,0.0873407753468122,0.16456776565617598,0.24179475596553973,0.31902174627490354,0.3962487365842673,0.0018877190307067,-0.6506513053367105,1.3201734532962397,84.93363680022756,1.3592358237523126,Very Low,Very High
A Illa de Arousa,4951.0,2435.0,2516.0,843.3938879825445,5.8703294754045805,1676.0,3943.0,1015.0,18.933,5.06873648,0.0,0.0,0.0,0.0,18.933,843.3938879825445,2.53436824,0.0,0.002050090890729145,0.003385174712179358,10.832901144476546,0.0693991584096555,0.0693991584096555,2.760274654926378,5.451150151443101,8.142025647959823,10.832901144476546,-0.0678920248085187,-0.356110022622592,41.33102569762316,67.48649632662406,41.3027937803299,Medium,High
A Lama,2410.0,1195.0,1215.0,21.563309712790616,111.7639189947947,570.0,1570.0,860.0,19.648,0.0,0.0,61.0,-7.733063849180327,42.68471823278689,19.648,21.563309712790616,2.637703983157895,0.7625,0.003568464730290456,0.002365145228215767,0.1954377274550939,0.020044851156144,0.020044851156144,0.06389307023088148,0.10774128930561895,0.15158950838035642,0.1954377274550939,0.4126942991158467,-1.4175216022994837,0.5503270215777993,19.492408912679682,0.33135962635192134,Very Low,Very Low
A Laracha,11521.0,5669.0,5852.0,91.44153580180844,125.99307195551444,3255.0,8357.0,2945.0,25.63,1.5737127027272726,0.4649021818181818,1.0,-8.5816182,43.2484663,25.63,91.44153580180844,1.0193074422727273,0.0125,0.0025562017186008153,0.002825275583716691,7.123893541409632,0.0713169962383481,0.0713169962383481,1.834461132531169,3.59760526882399,5.3607494051168105,7.123893541409632,-0.0414013843619773,-0.1739807338296851,27.111853746742266,69.35147795676319,27.090444684645483,Low,High
A Merca,1939.0,968.0,971.0,38.02828716578168,50.98836010012925,354.0,1123.0,788.0,21.877,0.0,1.44230769,1.0,-7.9049545,42.222633,21.877,38.02828716578168,0.721153845,0.0125,0.00406395048994327,0.001825683341928829,4.033840260524656,0.0732674312801402,0.0732674312801402,1.0634106385912692,2.053553845902398,3.043697053213527,4.033840260524656,0.0075970207304506,-0.5462531439291708,15.265558553937709,71.24815841081475,15.251185732770741,Very Low,High
A Mezquita,1006.0,528.0,478.0,9.647647137151983,104.2741287796492,234.0,620.0,419.0,19.833,0.0,0.0,1.0,-7.0451474,42.0114543,19.833,9.647647137151983,2.637703983157895,0.0125,0.004165009940357853,0.002326043737574552,0.3045696090975557,0.0956689534759633,0.0956689534759633,0.1478941173813614,0.2001192812867595,0.2523444451921576,0.3045696090975557,0.0224175586121105,-0.7172213364135157,0.9687044304335318,93.03228778678232,1.0396825178586695,Very Low,Very High
